title,text
Alchemy,"Alchemy is a philosophical and protoscientific tradition practiced throughout Europe, Africa and Asia. It aimed to purify, mature, and perfect certain objects. Common aims were chrysopoeia, the transmutation of ""base metals"" (e.g., lead) into ""noble metals"" (particularly gold); the creation of an elixir of immortality; the creation of panaceas able to cure any disease; and the development of an alkahest, a universal solvent. The perfection of the human body and soul was thought to permit or result from the alchemical magnum opus and, in the Hellenistic and western tradition, the achievement of gnosis. In Europe, the creation of a philosopher's stone was variously connected with all of these projects."
Astronomer,"An astronomer is a scientist in the field of astronomy who concentrates their studies on a specific question or field outside the scope of Earth. They look at stars, planets, moons, comets and galaxies, as well as many other celestial objects — either in observational astronomy, in analyzing the data, or in theoretical astronomy. Examples of topics or fields astronomers work on include: planetary science, solar astronomy, the origin or evolution of stars, or the formation of galaxies. There are also related but distinct subjects like physical cosmology which studies the Universe as a whole."
ASCII,"ASCII ( ), abbreviated from American Standard Code for Information Interchange, is a character encoding standard for electronic communication. ASCII codes represent text in computers, telecommunications equipment, and other devices. Most modern character-encoding schemes are based on ASCII, although they support many additional characters."
Animation,"Animation is a dynamic medium in which images or objects are manipulated to appear as moving images. In traditional animation the images were drawn (or painted) by hand on cels to be photographed and exhibited on film. Nowadays most animations are made with computer-generated imagery (CGI). Computer animation can be very detailed 3D animation, while 2D computer animation can be used for stylistic reasons, low bandwidth or faster real-time renderings. Other common animation methods apply a stop motion technique to two and three-dimensional objects like paper cutouts, puppets or clay figures. The stop motion technique where live actors are used as a frame-by-frame subject is known as pixilation."
Apollo,"Apollo (Attic, Ionic, and Homeric Greek: , ""Apollōn"" ( ); Doric: , ""Apellōn""; Arcadocypriot: , ""Apeilōn""; Aeolic: , ""Aploun""; ) is one of the most important and complex of the Olympian deities in classical Greek and Roman religion and Greek and Roman mythology. The ideal of the ""kouros"" (a beardless, athletic youth), Apollo has been variously recognized as a god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more. Apollo is the son of Zeus and Leto, and has a twin sister, the chaste huntress Artemis. Apollo is known in Greek-influenced Etruscan mythology as ""Apulu""."
Andre Agassi,"Andre Kirk Agassi ( ; born April 29, 1970) is an American retired professional tennis player and former World No. 1 who was one of the sport's most dominant players from the early 1990s to the mid-2000s. Generally considered by critics and fellow players to be one of the greatest tennis players of all time, Agassi has been called the greatest service returner ever to play the game. Described by the BBC upon his retirement as ""perhaps the biggest worldwide star in the sport's history"", Agassi compiled performances that, along with his unorthodox apparel and attitude, saw him cited as one of the most charismatic players in history. As a result, he is credited for helping to revive the popularity of tennis during the 1990s."
Austroasiatic languages,"The Austroasiatic languages, in recent classifications synonymous with Mon–Khmer, are a large language family of Mainland Southeast Asia, also scattered throughout India, Bangladesh, Nepal and the southern border of China, with around 117 million speakers. The name ""Austroasiatic"" comes from the Latin words for ""South"" and ""Asia"", hence ""South Asia"". Of these languages, only Vietnamese, Khmer, and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status as modern national languages (in Vietnam and Cambodia, respectively). In India, Khasi has official status in Meghalaya while Santhali, Ho and Mundari are official languages of Jharkhand. In Myanmar, the Wa language is the de facto official language of Wa State. The rest of the languages are spoken by minority groups and have no official status."
Afroasiatic languages,"Afroasiatic (Afro-Asiatic), also known as Afrasian and traditionally as Hamito-Semitic (Chamito-Semitic) or Semito-Hamitic, is a large language family of about 300 languages and dialects. It includes languages spoken predominantly in West Asia, North Africa, the Horn of Africa and parts of the Sahel."
Andorra,"Andorra (; , ), officially the Principality of Andorra (), also called the Principality of the Valleys of Andorra (), is a sovereign landlocked microstate in Southwestern Europe, located in the eastern Pyrenees mountains and bordered by France in the north, and the Spanish autonomous community of Catalonia in the south. Created under a charter in 988, the present principality was formed in 1278. It is known as a principality as it is a diarchy headed by two Co-Princesthe Catholic Bishop of Urgell in Spain and the President of France."
Arithmetic mean,"In mathematics and statistics, the arithmetic mean (, stress on third syllable of ""arithmetic""), or simply the mean or average when the context is clear, is the sum of a collection of numbers divided by the number of numbers in the collection. The collection is often a set of results of an experiment, or a set of results from a survey. The term ""arithmetic mean"" is preferred in some contexts in mathematics and statistics because it helps distinguish it from other means, such as the geometric mean and the harmonic mean."
American Football Conference,"The American Football Conference (AFC) is one of the two conferences of the National Football League (NFL), the highest professional level of American football in the United States. This conference and its counterpart, the National Football Conference (NFC), currently contain 16 teams each, making up the 32 teams of the NFL. Both conferences were created as part of the 1970 merger with the rival American Football League (AFL), with all ten of the former AFL teams and three NFL teams forming the AFC, and the remaining thirteen NFL clubs forming the NFC. A series of league expansions and division realignments have occurred since the merger, thus making the current total 16 clubs per each conference."
Animal Farm,"Animal Farm is an allegorical novella by George Orwell, first published in England on 17 August 1945. According to Orwell, the book reflects events leading up to the Russian Revolution of 1917 and then on into the Stalinist era of the Soviet Union. Orwell, a democratic socialist, was a critic of Joseph Stalin and hostile to Moscow-directed Stalinism, an attitude that was critically shaped by his experiences during the Spanish Civil War. The Soviet Union, he believed, had become a brutal dictatorship, built upon a cult of personality and enforced by a reign of terror. In a letter to Yvonne Davet, Orwell described ""Animal Farm"" as a satirical tale against Stalin (""""""""), and in his essay ""Why I Write"" (1946), wrote that ""Animal Farm"" was the first book in which he tried, with full consciousness of what he was doing, ""to fuse political purpose and artistic purpose into one whole""."
Amphibian,"Amphibians are ectothermic, tetrapod vertebrates of the class Amphibia. Modern amphibians are all Lissamphibia. They inhabit a wide variety of habitats, with most species living within terrestrial, fossorial, arboreal or freshwater aquatic ecosystems. Thus amphibians typically start out as larvae living in water, but some species have developed behavioural adaptations to bypass this. The young generally undergo metamorphosis from larva with gills to an adult air-breathing form with lungs. Amphibians use their skin as a secondary respiratory surface and some small terrestrial salamanders and frogs lack lungs and rely entirely on their skin. They are superficially similar to lizards but, along with mammals and birds, reptiles are amniotes and do not require water bodies in which to breed. With their complex reproductive needs and permeable skins, amphibians are often ecological indicators; in recent decades there has been a dramatic decline in amphibian populations for many species around the globe."
Alaska,"Alaska () is a U.S. state located in the northwest extremity of North America. The Canadian administrative divisions of British Columbia and Yukon border the state to the east, its most extreme western part is Attu Island, and it has a maritime border with Russia to the west across the Bering Strait. To the north are the Chukchi and Beaufort seas–the southern parts of the Arctic Ocean. The Pacific Ocean lies to the south and southwest. It is the largest state in the United States by area and the"
Agriculture,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life. Agriculture was the key development in the rise of sedentary human civilization, whereby farming of domesticated species created food surpluses that nurtured the development of civilization. The study of agriculture is known as agricultural science. The history of agriculture by humans dates back thousands of years, and its development has been driven and defined by greatly different climates, cultures, and technologies; industrial agriculture based on large-scale monoculture farming has become the dominant agricultural method. Although generally understood to denote the practices of humans, other animals—for example, fungus-growing ants—have also been found to engage in agriculture."
Aldous Huxley,"Aldous Leonard Huxley (; 26 July 1894 – 22 November 1963) was an English writer, novelist, philosopher, and prominent member of the Huxley family. He graduated from Balliol College at the University of Oxford with a first class honours in English literature."
Ada,Ada may refer to:
Algae,"Algae (; singular alga ) is an informal term for a large, diverse group of photosynthetic organisms that are not necessarily closely related, and is thus polyphyletic. Included organisms range from unicellular microalgae genera, such as ""Chlorella"" and the diatoms, to multicellular forms, such as the giant kelp, a large brown alga which may grow up to 50 m in length. Most are aquatic and autotrophic and lack many of the distinct cell and tissue types, such as stomata, xylem, and phloem, which are found in land plants. The largest and most complex marine algae are called seaweeds, while the most complex freshwater forms are the Charophyta, a division of green algae which includes, for example, ""Spirogyra"" and the stoneworts."
Analysis of variance,"Analysis of variance (ANOVA) is a collection of statistical models and their associated procedures (such as ""variation"" among and between groups) used to analyze the differences among group means. ANOVA was developed by statistician and evolutionary biologist Ronald Fisher. In the ANOVA setting, the observed variance in a particular variable is partitioned into components attributable to different sources of variation. In its simplest form, ANOVA provides a statistical test of whether or not the means of several groups are equal, and therefore generalizes the ""t""-test to more than two groups. ANOVAs are useful for comparing (testing) three or more means (groups or variables) for statistical significance. It is conceptually similar to multiple two-sample t-tests, but is more conservative (results in less type I error) and is therefore suited to a wide range of practical problems."
Alkane,"In organic chemistry, an alkane, or paraffin (a historical name that also has other meanings), is an acyclic saturated hydrocarbon. In other words, an alkane consists of hydrogen and carbon atoms arranged in a tree structure in which all the carbon-carbon bonds are single. Alkanes have the general chemical formula . The alkanes range in complexity from the simplest case of methane, CH where ""n"" = 1 (sometimes called the parent molecule), to arbitrarily large molecules."
Appellate procedure in the United States,"United States appellate procedure involves the rules and regulations for filing appeals in state courts and federal courts. The nature of an appeal can vary greatly depending on the type of case and the rules of the court in the jurisdiction where the case was prosecuted. There are many types of standard of review for appeals, such as ""de novo"" and abuse of discretion. However, most appeals begin when a party files a petition for review to a higher court for the purpose of overturning the lower court's decision."
Answer (law),"In law, an Answer was originally a solemn assertion in opposition to someone or something, and thus generally any counter-statement or defense, a reply to a question or response, or objection, or a correct solution of a problem."
Appellate court,"An appellate court, commonly called an appeals court, court of appeals (American English), appeal court (British English), court of second instance or second instance court, is any court of law that is empowered to hear an appeal of a trial court or other lower tribunal. In most jurisdictions, the court system is divided into at least three levels: the trial court, which initially hears cases and reviews evidence and testimony to determine the facts of the case; at least one intermediate appellate court; and a supreme court (or court of last resort) which primarily reviews the decisions of the intermediate courts. A jurisdiction's supreme court is that jurisdiction's highest appellate court. Appellate courts nationwide can operate under varying rules."
Arraignment,"Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her. In response to arraignment, the accused is expected to enter a plea. Acceptable pleas vary among jurisdiction but they generally include ""guilty"", ""not guilty"", and the peremptory pleas (or pleas in bar) setting out reasons why a trial cannot proceed. Pleas of ""nolo contendere"" (no contest) and the """"Alford"" plea"" are allowed in some circumstances."
America the Beautiful,"""America the Beautiful"" is an American patriotic song. The lyrics were written by Katharine Lee Bates, and the music was composed by church organist and choirmaster Samuel A. Ward at Grace Episcopal Church in Newark, New Jersey."
Assistive technology,"Assistive technology is an umbrella term that includes assistive, adaptive, and rehabilitative devices for people with disabilities and also includes the process used in selecting, locating, and using them. People who have disabilities often have difficulty performing activities of daily living (ADLs) independently, or even with assistance. ADLs are self-care activities that include toileting, mobility (ambulation), eating, bathing, dressing and grooming. Assistive technology can ameliorate the effects of disabilities that limit the ability to perform ADLs. Assistive technology promotes greater independence by enabling people to perform tasks that they were formerly unable to accomplish, or had great difficulty accomplishing, by providing enhancements to, or changing methods of interacting with, the technology needed to accomplish such tasks. For example, wheelchairs provide independent mobility for those who cannot walk and assistive eating devices can enable people who cannot feed themselves, to do so. Due to assistive technology, people with disabilities have an opportunity of a more positive and easygoing lifestyle, with an increase in ""social participation,"" ""security and control,"" and a greater chance to ""reduce institutional costs without significantly increasing household expenses."""
Abacus,"The abacus (""plural"" abaci or abacuses), also called a counting frame, is a calculating tool that was in use in Europe, China and Russia, centuries before the adoption of the written Hindu–Arabic numeral system. The exact origin of the abacus is still unknown. Today, abaci are often constructed as a bamboo frame with beads sliding on wires, but originally they were beans or stones moved in grooves in sand or on tablets of wood, stone, or metal."
Acid,"An acid is a molecule or ion capable of donating a hydron (proton or hydrogen ion H), or, alternatively, capable of forming a covalent bond with an electron pair (a Lewis acid)."
Asphalt,"Asphalt (), also known as bitumen (UK English: , US English: ) is a sticky, black, and highly viscous liquid or semi-solid form of petroleum. It may be found in natural deposits or may be a refined product, and is classed as a pitch. Before the 20th century, the term asphaltum was also used. The word is derived from the Ancient Greek ἄσφαλτος ""ásphaltos""."
American National Standards Institute,"The American National Standards Institute (ANSI, ) is a private non-profit organization that oversees the development of voluntary consensus standards for products, services, processes, systems, and personnel in the United States. The organization also coordinates U.S. standards with international standards so that American products can be used worldwide."
Apollo 11,"Apollo 11 was the spaceflight that landed the first two humans on the Moon. Mission commander Neil Armstrong and pilot Buzz Aldrin, both American, landed the lunar module ""Eagle"" on July 20, 1969, at 20:18 UTC. Armstrong became the first to step onto the lunar surface six hours after landing on July 21 at 02:56:15 UTC; Aldrin joined him about 20 minutes later. They spent about two and a quarter hours together outside the spacecraft, and collected of lunar material to bring back to Earth. Michael Collins piloted the command module ""Columbia"" alone in lunar orbit while they were on the Moon's surface. Armstrong and Aldrin spent just under a day on the lunar surface before rejoining ""Columbia"" in lunar orbit."
Apollo 8,"Apollo 8, the second manned spaceflight mission in the United States Apollo space program, was launched on December 21, 1968, and became the first manned spacecraft to leave Earth orbit, reach the Earth's Moon, orbit it and return safely to Earth. The three-astronaut crew — Commander Frank Borman, Command Module Pilot James Lovell, and Lunar Module Pilot William Anders — became the first humans to: travel beyond low Earth orbit; see Earth as a whole planet; enter the gravity well of another celestial body (Earth's moon); orbit another celestial body (Earth's moon); directly see the far side of the Moon with their own eyes; witness an Earthrise; escape the gravity of another celestial body (Earth's moon); and re-enter the gravitational well of Earth. The 1968 mission, the third flight of the Saturn V rocket and that rocket's first crewed launch, was also the first human spaceflight launch from the Kennedy Space Center, Florida, located adjacent to Cape Canaveral Air Force Station."
Astronaut,"An astronaut or cosmonaut is a person trained by a human spaceflight program to command, pilot, or serve as a crew member of a spacecraft. Although generally reserved for professional space travelers, the terms are sometimes applied to anyone who travels into space, including scientists, politicians, journalists, and tourists."
A Modest Proposal,"A Modest Proposal For Preventing the Children of Poor People From Being a Burden to Their Parents or Country, and For Making Them Beneficial to the Public, commonly referred to as A Modest Proposal, is a Juvenalian satirical essay written and published anonymously by Jonathan Swift in 1729. Swift suggested that the impoverished Irish might ease their economic troubles by selling their children as food for rich gentlemen and ladies. His work encouraged positive development for those that suffered from famishment and financial maladies, and urged the aristocratic landlords to lower their taxes, so as to not further starve the country of its food and coin. This satirical hyperbole mocked heartless attitudes towards the poor, as well as British policy toward the Irish in general. The primary target of Swift's satire was the rationalism of modern economics, and the growth of rationalistic modes of thinking in modern life at the expense of more traditional human values."
Alkali metal,"The alkali metals are a group (column) in the periodic table consisting of the chemical elements lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs), and francium (Fr). This group lies in the s-block of the periodic table of elements as all alkali metals have their outermost electron in an s-orbital: this shared electron configuration results in their having very similar characteristic properties. Indeed, the alkali metals provide the best example of group trends in properties in the periodic table, with elements exhibiting well-characterised homologous behaviour."
Alphabet,"An alphabet is a standard set of letters (basic written symbols or graphemes) that is used to write one or more languages based upon the general principle that the letters represent phonemes (basic significant sounds) of the spoken language. This is in contrast to other types of writing systems, such as syllabaries (in which each character represents a syllable) and logographies (in which each character represents a word, morpheme, or semantic unit)."
Atomic number,"The atomic number or proton number (symbol ""Z"") of a chemical element is the number of protons found in the nucleus of an atom. It is identical to the charge number of the nucleus. The atomic number uniquely identifies a chemical element. In an uncharged atom, the atomic number is also equal to the number of electrons."
Anatomy,"Anatomy (Greek anatomē, “dissection”) is the branch of biology concerned with the study of the structure of organisms and their parts. Anatomy is a branch of natural science dealing with the structural organization of living things. It is an old science, having its beginnings in prehistoric times. Anatomy is inherently tied to embryology, comparative anatomy, evolutionary biology, and phylogeny, as these are the processes by which anatomy is generated over immediate (embryology) and long (evolution) timescales. Human anatomy is one of the basic essential sciences of medicine. Anatomy and physiology, which study (respectively) the structure and function of organisms and their parts, make a natural pair of related disciplines, and they are often studied together."
Affirming the consequent,"Affirming the consequent, sometimes called converse error, fallacy of the converse or confusion of necessity and sufficiency, is a formal fallacy of inferring the converse from the original statement. The corresponding argument has the general form:"
Andrei Tarkovsky,"Andrei Arsenyevich Tarkovsky (; 4 April 1932 – 29 December 1986) was a Soviet filmmaker, writer, film editor, film theorist, theatre and opera director."
Ambiguity,"Ambiguity is a type of uncertainty of meaning in which several interpretations are plausible. It is thus an attribute of any idea or statement whose intended meaning cannot be definitively resolved according to a rule or process with a finite number of steps. (The ""ambi-"" part of the term reflects an idea of ""two"", as in ""two meanings"".)"
Animal (disambiguation),"An animal is a multicellular, eukaryotic organism of the kingdom Animalia or Metazoa."
Aardvark,"The aardvark ( ; ""Orycteropus afer"") is a medium-sized, burrowing, nocturnal mammal native to Africa. It is the only living species of the order Tubulidentata, although other prehistoric species and genera of Tubulidentata are known. Unlike other insectivores, it has a long pig-like snout, which is used to sniff out food. It roams over most of the southern two-thirds of the African continent, avoiding areas that are mainly rocky. A nocturnal feeder, it subsists on ants and termites, which it will dig out of their hills using its sharp claws and powerful legs. It also digs to create burrows in which to live and rear its young. It receives a ""least concern"" rating from the IUCN, although its numbers seem to be decreasing."
Aardwolf,"The aardwolf (""Proteles cristata"") is a small, insectivorous mammal, native to East and Southern Africa. Its name means ""earth wolf"" in Afrikaans and Dutch. It is also called ""maanhaar jackal"" (Afrikaans for ""mane jackal"") or ""civet hyena"", based on its habit of secreting substances from its anal gland, a characteristic shared with the civet. The aardwolf is in the same family as the hyena. Unlike many of its relatives in the order Carnivora, the aardwolf does not hunt large animals. It eats insects, mainly termites – one aardwolf can eat about 250,000 termites during a single night, using its long, sticky tongue to capture them. The aardwolf lives in the shrublands of eastern and southern Africa – open lands covered with stunted trees and shrubs. It is nocturnal, resting in burrows during the day and emerging at night to seek food. Its diet consists mainly of termites and insect larvae."
Adobe,"Adobe (, ; ) is a building material made from earth and other organic materials. Adobe means mudbrick in Spanish, but in some English-speaking regions of Spanish heritage, the term is used to refer to any kind of earth construction. Most adobe buildings are similar in appearance to cob and rammed earth buildings. Adobe is among the earliest building materials, and is used throughout the world."
Adventure,"An adventure is an exciting or unusual experience. It may also be a bold, usually risky undertaking, with an uncertain outcome. Adventures may be activities with some potential for physical danger such as traveling, exploring, skydiving, mountain climbing, scuba diving, river rafting or participating in extreme sports. The term also broadly refers to any enterprise that is potentially fraught with physical, financial or psychological risk, such as a business venture, or other major life undertakings."
Asia,"Asia () is Earth's largest and most populous continent, located primarily in the Eastern and Northern Hemispheres. It shares the continental landmass of Eurasia with the continent of Europe and the continental landmass of Afro-Eurasia with both Europe and Africa. Asia covers an area of , about 30% of Earth's total land area and 8.7% of the Earth's total surface area. The continent, which has long been home to the majority of the human population, was the site of many of the first civilizations. Asia is notable for not only its overall large size and population, but also dense and large settlements, as well as vast barely populated regions. Its /1e9 round 1 billion people constitute roughly 60% of the world's population."
Aruba,"Aruba ( ; ) is an island and a constituent country of the Kingdom of the Netherlands in the southern Caribbean Sea, located about west of the main part of the Lesser Antilles and north of the coast of Venezuela. It measures long from its northwestern to its southeastern end and across at its widest point. Together with Bonaire and Curaçao, Aruba forms a group referred to as the ABC islands. Collectively, Aruba and the other Dutch islands in the Caribbean are often called the Dutch Caribbean."
Articles of Confederation,"The Articles of Confederation, formally the Articles of Confederation and Perpetual Union, was an agreement among the 13 original states of the United States of America that served as its first constitution. It was approved, after much debate (between July 1776 and November 1777), by the Second Continental Congress on November 15, 1777, and sent to the states for ratification. The Articles of Confederation came into force on March 1, 1781, after being ratified by all 13 states. A guiding principle of the Articles was to preserve the independence and sovereignty of the states. The federal government received only those powers which the colonies had recognized as belonging to king and parliament."
Asia Minor (disambiguation),"Asia Minor is an alternative name for Anatolia, the westernmost protrusion of Asia, comprising the majority of the Republic of Turkey. It may also refer to:"
Atlantic Ocean,"The Atlantic Ocean is the second largest of the world's oceans with a total area of about . It covers approximately 20 percent of the Earth's surface and about 29 percent of its water surface area. It separates the ""Old World"" from the ""New World""."
Arthur Schopenhauer,"Arthur Schopenhauer (; ; 22 February 1788 – 21 September 1860) was a German philosopher. He is best known for his 1818 work ""The World as Will and Representation"" (expanded in 1844), wherein he characterizes the phenomenal world as the product of a blind and insatiable metaphysical will. Proceeding from the transcendental idealism of Immanuel Kant, Schopenhauer developed an atheistic metaphysical and ethical system that has been described as an exemplary manifestation of philosophical pessimism, rejecting the contemporaneous post-Kantian philosophies of German idealism. Schopenhauer was among the first thinkers in Western philosophy to share and affirm significant tenets of Eastern philosophy (e.g., asceticism, the world-as-appearance), having initially arrived at similar conclusions as the result of his own philosophical work."
Angola,"Angola (), officially the Republic of Angola ( ; Kikongo, Kimbundu and Umbundu: ""Repubilika ya Ngola""), is a country in Southern Africa. It is the seventh-largest country in Africa, bordered by Namibia to the south, the Democratic Republic of the Congo to the north, Zambia to the east, and the Atlantic Ocean to the west. The exclave province of Cabinda borders the Republic of the Congo and the Democratic Republic of the Congo. The capital and largest city of Angola is Luanda."
Demographics of Angola,"This article is about the demographic features of the population of Angola, including population density, ethnicity, education level, health of the populace, economic status, religious affiliations and other aspects of the population."
Politics of Angola,"Since the adoption of a new constitution in 2010, the politics of Angola takes place in a framework of a presidential republic, whereby the President of Angola is both head of state and head of government, and of a multi-party system. Executive power is exercised by the government. Legislative power is vested in the President, the government and parliament."
Economy of Angola,"The Economy of Angola is one of the fastest-growing in the world, with reported annual average GDP growth of 11.1 percent from 2001 to 2010. It is still recovering from 27 years of the civil war that plagued the country from its independence in 1975 to 2002. Despite extensive oil and gas resources, diamonds, hydroelectric potential, and rich agricultural land, Angola remains poor, and a third of the population relies on subsistence agriculture. Since 2002, when the 27-year civil war ended, the nation has worked to repair and improve ravaged infrastructure and weakened political and social institutions. High international oil prices and rising oil production have contributed to the very strong economic growth since 1998, but corruption and public-sector mismanagement remain, particularly in the oil sector, which accounts for over 50 percent of GDP, over 90 percent of export revenue, and over 80 percent of government revenue."
Transport in Angola,Transport in Angola comprises:
